,ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS,YEAR,log10.width,log10.weight,log.width,log.weight,Cooks_D,SC,Maturity
450,NA,-8968,201201,89,116,L-20,68580,1,NA,35,2,NA,NA,NA,18,NA,,2012,1.544068044,1.255272505,3.555348061,2.890371758,0.00052172,NS,#VALUE!
451,NA,-8710,201201,162,154,P-24,68580,1,NA,35,2,NA,NA,NA,16,NA,,2012,1.544068044,1.204119983,3.555348061,2.772588722,3.84E-07,NS,#VALUE!
455,NA,-8959,201201,89,107,M-18,68580,1,NA,35.1,2,NA,NA,NA,16,5.5,,2012,1.545307116,1.204119983,3.55820113,2.772588722,5.55E-06,NS,Immature
456,NA,-10145,201301,89,119,L-19,68580,1,NA,35.1,2,NA,NA,NA,17,5.4,,2013,1.545307116,1.230448921,3.55820113,2.833213344,9.37E-05,NS,Immature
458,NA,-10153,201301,89,127,O-20,68580,1,NA,35.1,2,NA,NA,NA,16,5.2,,2013,1.545307116,1.204119983,3.55820113,2.772588722,5.55E-06,NS,Immature
459,NA,-10228,201301,162,169,U-27,68580,1,NA,35.1,2,NA,NA,NA,17,5.6,,2013,1.545307116,1.230448921,3.55820113,2.833213344,9.37E-05,NS,Immature
462,NA,-9610,201202,162,23,CH30-D01,68580,1,NA,35.1,2,NA,NA,NA,18,5.3,,2012,1.545307116,1.255272505,3.55820113,2.890371758,0.000442028,NS,Immature
464,NA,-10253,201301,89,170,V-25,68580,1,NA,35.2,2,NA,NA,NA,18,5.2,,2013,1.546542663,1.255272505,3.561046083,2.890371758,0.000369594,NS,Immature
466,NA,-10204,201301,89,160,P-24,68580,1,NA,35.3,2,NA,NA,NA,18,5.7,,2013,1.547774705,1.255272505,3.563882964,2.890371758,0.00030423,NS,Immature
472,NA,-9223,201201,162,207,U-25,68580,1,NA,35.4,2,NA,NA,NA,18,NA,,2012,1.549003262,1.255272505,3.56671182,2.890371758,0.000245748,NS,#VALUE!
482,NA,-9588,201202,162,1,CH30-B01,68580,1,NA,35.5,2,NA,NA,NA,16,5,,2012,1.550228353,1.204119983,3.569532696,2.772588722,8.35E-05,NS,Immature
483,3232,-3776,200701,89,174,T-25,68580,1,NA,35.6,2,NA,NA,NA,16,5.2,,2007,1.551449998,1.204119983,3.572345638,2.772588722,0.000116413,NS,Immature
484,3245,-3777,200701,89,175,U-25,68580,1,NA,35.6,2,NA,NA,NA,16,5.4,,2007,1.551449998,1.204119983,3.572345638,2.772588722,0.000116413,NS,Immature
487,NA,-10253,201301,89,170,V-25,68580,1,NA,35.6,2,NA,NA,NA,18,5.1,,2013,1.551449998,1.255272505,3.572345638,2.890371758,0.000148707,NS,Immature
489,481,-11658,200601,88,170,V-23,68580,1,NA,35.7,2,NA,NA,NA,16,4.8,,2006,1.552668216,1.204119983,3.575150689,2.772588722,0.00015444,NS,Immature
490,NA,-10168,201301,89,142,K-23,68580,1,NA,35.7,2,NA,NA,NA,18,5.4,,2013,1.552668216,1.255272505,3.575150689,2.890371758,0.000109795,NS,Immature
491,NA,-10153,201301,89,127,O-20,68580,1,NA,35.7,2,NA,NA,NA,16,5.3,,2013,1.552668216,1.204119983,3.575150689,2.772588722,0.00015444,NS,Immature
495,3244,-3777,200701,89,175,U-25,68580,1,NA,35.8,2,NA,NA,NA,17,5.6,,2007,1.553883027,1.230448921,3.577947893,2.833213344,5.29E-06,NS,Immature
497,5459,-5675,200901,88,182,S-30,68580,1,NA,35.8,2,NA,NA,NA,18,4,,2009,1.553883027,1.255272505,3.577947893,2.890371758,7.71E-05,NS,Immature
