"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"380",NA,-10203,201301,89,159,"PO2524",68580,1,NA,33.6,2,NA,NA,NA,16,5.6,"","2013",1.52633927738984,1.20411998265592,3.51452606696916,2.77258872223978,0.000652397043244466,"NS"
"385",287,-11590,200601,88,102,"P-20",68580,1,NA,33.7,2,NA,NA,NA,16,5.2,"","2006",1.52762990087134,1.20411998265592,3.51749783735832,2.77258872223978,0.00055479260520152,"NS"
"389",NA,-10254,201301,89,171,"V-26",68580,1,NA,33.9,2,NA,NA,NA,14,5.2,"","2013",1.53019969820308,1.14612803567824,3.5234150143864,2.63905732961526,6.37820962294428e-05,"NS"
"391",NA,-9603,201202,162,16,"CH30-D03",68580,1,NA,33.9,2,NA,NA,NA,14,5.1,"","2012",1.53019969820308,1.14612803567824,3.5234150143864,2.63905732961526,6.37820962294428e-05,"NS"
"393",1561,1063300,200101,89,138,"U-21",68580,1,NA,34,2,NA,NA,NA,14,NA,"","2001",1.53147891704226,1.14612803567824,3.52636052461616,2.63905732961526,9.64908125032665e-05,"NS"
"394",5256,-6716,201001,89,103,"I-19",68580,1,NA,34,2,NA,NA,NA,14,5.3,"","2010",1.53147891704226,1.14612803567824,3.52636052461616,2.63905732961526,9.64908125032665e-05,"NS"
"397",NA,-14502,201501,94,89,"M-19",68580,1,NA,34,2,NA,NA,NA,16,5.3,"","2015",1.53147891704226,1.20411998265592,3.52636052461616,2.77258872223978,0.000313409553801798,"NS"
"399",NA,-8994,201201,89,152,"R-25",68580,1,NA,34.1,2,NA,NA,NA,16,NA,"","2012",1.5327543789925,1.20411998265592,3.52929738428947,2.77258872223978,0.000249337076799185,"NS"
"404",NA,-14587,201501,162,181,"V-25",68580,1,NA,34.1,2,NA,NA,NA,16,5,"","2015",1.5327543789925,1.20411998265592,3.52929738428947,2.77258872223978,0.000249337076799185,"NS"
"406",NA,-17005,201701,94,186,"T-25",68580,1,NA,34.1,2,NA,NA,NA,15,5.1,"","2017",1.5327543789925,1.17609125905568,3.52929738428947,2.70805020110221,6.41116626268637e-06,"NS"
