"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log.width","log.weight","Cooks_D","SC"
"4430",1520,1063350,200101,89,85,"C-01",68560,2,NA,78,2,4,1,5,130,NA,NA,"2001",4.35670882668959,4.86753445045558,2.77469787166771e-06,"NS"
"4436",2478,-3718,200701,88,198,"R-30",68560,2,NA,78,2,4,1,5,128,NA,NA,"2007",4.35670882668959,4.85203026391962,7.0771884956138e-05,"NS"
"4437",2318,-3481,200701,88,139,"L-24",68560,2,NA,78,2,4,1,5,124,NA,NA,"2007",4.35670882668959,4.82028156560504,0.00049410559365282,"NS"
"4449",3375,-4112,200801,89,27,"C-08",68560,2,NA,78.1,2,3,1,6,140,NA,NA,"2008",4.35799005684564,4.9416424226093,0.000834375926237246,"NS"
"4450",4623,-5741,200901,89,184,"M-31",68560,2,NA,78.1,2,4,1,5,136,NA,NA,"2009",4.35799005684564,4.91265488573605,0.000266111255863876,"NS"
"4468",63,-11537,200601,88,49,"F-06",68560,2,NA,78.3,2,4,1,5,148,NA,NA,"2006",4.36054760299676,4.99721227376411,0.0024484289642291,"NS"
"4478",34,-11514,200601,88,26,"D-09",68560,2,NA,78.4,2,4,1,5,114,NA,NA,"2006",4.36182392735636,4.7361984483945,0.00414510584802559,"NS"
"4479",103,-11539,200601,88,51,"D-06",68560,2,NA,78.4,2,4,1,5,140,NA,NA,"2006",4.36182392735636,4.9416424226093,0.000570204265022604,"NS"
"4485",NA,-11980,201401,162,116,"F-21",68560,2,NA,78.4,2,4,1,4,148,NA,NA,"2014",4.36182392735636,4.99721227376411,0.00228030056637552,"NS"
"4495",NA,-19420,201901,94,178,"M-28",68560,2,NA,78.5,2,4,1,5,132,NA,NA,"2019",4.36309862478836,4.88280192258637,8.78666212466479e-06,"NS"
