ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS
,-17585,201801,162,30,C-07,68560,2,,28.9,2,0,0,0,8,,
,-17729,201801,162,56,H-04,68560,2,,28.9,2,0,0,0,8,,
,-17027,201701,162,164,R-32,68560,1,,28.9,2,,,,8,4.2,
,-12144,201401,162,152,N-24,68560,2,,29,2,0,0,0,8,,
,-17805,201801,94,114,K-20,68560,2,,29,2,0,0,0,8,,
,-17721,201801,162,62,E-03,68560,2,,29,2,0,0,0,8,,
5678,-5230,200901,89,112,E-21,68560,1,,29.1,2,,,,10,3.9,
,-10030,201301,162,68,D-18,68560,1,,29.1,2,,,,12,3.6,
,-17635,201801,94,72,D-06,68560,1,,29.1,2,,,,8,3.2,
4970,-5230,200901,89,112,E-21,68560,2,,29.2,2,0,0,0,8,,
1370,-6566,201001,162,123,L-28,68560,1,,29.2,2,,,,10,3.7,
,-17027,201701,162,164,R-32,68560,2,,29.2,2,0,0,0,8,,
,-16953,201701,162,118,K-26,68560,1,,29.2,2,,,,6,,
,-18169,201801,162,176,O-29,68560,1,,29.3,2,,,,8,,
,-15488,201601,162,100,HG1918,68560,2,,29.4,2,0,0,0,8,,
,-17833,201801,162,93,N-19,68560,2,,29.4,2,0,0,0,8,,
,-17585,201801,162,30,C-07,68560,2,,29.4,2,0,0,0,6,,
3510,-4313,200801,89,146,F-22,68560,2,,29.5,2,0,0,0,8,,
2091,-6884,201001,162,195,PO2524,68560,1,,29.5,2,,,,8,,
,-17891,201801,162,128,F-23,68560,2,,29.5,2,0,0,0,6,,
,-17630,201801,94,67,G-06,68560,2,,29.5,2,0,0,0,8,,
,-17015,201701,162,152,L-30,68560,1,,29.5,2,,,,8,,
,-17015,201701,162,152,L-30,68560,2,,29.5,2,0,0,0,8,,
524,-7886,201101,162,122,L-20,68560,2,,29.6,2,0,0,0,16,,
4699,-6417,201001,89,58,A-04,68560,2,,29.6,2,0,0,0,8,,
,-8718,201201,162,162,P-25,68560,1,,29.6,2,,,,10,3.5,
,-15791,201601,162,186,L-30,68560,2,,29.6,2,0,0,0,8,,
,-16957,201701,162,122,M-26,68560,2,,29.6,2,0,0,0,8,,
,-16952,201701,162,117,J-26,68560,1,,29.6,2,,,,12,4,
,-11998,201401,162,123,N-22,68560,2,,29.7,2,0,0,0,8,,
,-17586,201801,162,31,D-07,68560,2,,29.7,1,0,0,0,6,,
,-17840,201801,162,107,GF1918,68560,1,,29.7,2,,,,8,3.9,
,-17661,201801,94,89,H-02,68560,2,,29.7,2,0,0,0,8,,
,-17805,201801,94,114,K-20,68560,1,,29.7,2,,,,8,4.2,
,-17630,201801,94,67,G-06,68560,2,,29.7,2,0,0,0,10,,
,-17988,201801,94,171,N-26,68560,2,,29.7,2,0,0,0,8,,
,-17027,201701,162,164,R-32,68560,1,,29.7,2,,,,9,3.7,
,-16954,201701,162,119,K-27,68560,2,,29.7,2,0,0,0,10,,
1356,-6563,201001,162,120,K-26,68560,2,,29.8,2,0,0,0,6,,
,-8913,201201,162,170,M-24,68560,1,,29.8,2,,,,8,3.3,
,-17896,201801,162,148,N-25,68560,1,,29.8,2,,,,8,3.7,
,-15363,201601,94,61,F-05,68560,2,,29.8,2,0,0,0,8,,
,-17635,201801,94,72,D-06,68560,2,,29.8,2,0,0,0,8,,
,-17656,201801,94,60,K-03,68560,2,,29.8,2,0,0,0,8,,
902,-6216,201001,162,97,D-18,68560,1,,29.9,2,,,,8,,
,-17585,201801,162,30,C-07,68560,1,,29.9,2,,,,8,3.4,
,-17844,201801,162,111,E-20,68560,2,,29.9,2,0,0,0,10,,
,-16955,201701,162,120,L-27,68560,2,,29.9,2,0,0,0,6,,
,-17585,201801,162,30,C-07,68560,2,,29.9,2,0,0,0,8,,
289,-7959,201101,89,122,K-21,68560,2,,30,2,0,0,0,10,,
529,-7887,201101,162,123,K-20,68560,2,,30,2,0,0,0,8,,
,-17585,201801,162,30,C-07,68560,2,,30,2,0,0,0,6,,
,-16953,201701,162,118,K-26,68560,2,,30,2,0,0,0,8,,
,-11780,201401,162,58,E-06,68560,1,,30.1,2,,,,8,3.7,
,-18149,201801,162,180,N-30,68560,1,,30.1,2,,,,8,,
,-17585,201801,162,30,C-07,68560,2,,30.1,2,0,0,0,8,,
,-17585,201801,162,30,C-07,68560,2,,30.1,2,0,0,0,8,,
,-12123,201401,162,145,H-25,68560,1,,30.2,2,,,,12,3.9,
,-17863,201801,94,139,H-23,68560,1,,30.2,2,,,,8,4,
,-15598,201601,162,130,G-23,68560,2,,30.2,2,0,0,0,6,,
,-17638,201801,94,75,C-06,68560,1,,30.2,2,,,,8,3.7,
,-17613,201801,94,41,H-08,68560,2,,30.2,2,0,0,0,8,,
,-17721,201801,162,62,E-03,68560,2,,30.2,2,0,0,0,8,,
472,-7853,201101,162,89,G-18,68560,2,,30.3,2,0,0,0,4,,
,-17863,201801,94,139,H-23,68560,2,,30.3,2,0,0,0,8,,
,-17824,201801,162,99,K-18,68560,2,,30.3,2,0,0,0,8,,
,-17722,201801,162,63,E-04,68560,2,,30.3,2,0,0,0,8,,
5018,-6448,201001,89,90,E-02,68560,2,,30.4,2,0,0,0,10,,
,-8983,201201,89,141,M-22,68560,1,,30.4,2,,,,8,3.6,
,-12008,201401,162,133,K-23,68560,2,,30.4,2,0,0,0,8,,
,-17897,201801,162,149,M-25,68560,2,,30.4,2,0,0,0,10,,
1013,-6547,201001,162,101,C-18,68560,1,,30.5,2,,,,10,3.5,
,-11744,201401,162,35,E-07,68560,2,,30.5,2,0,0,0,8,,
,-17840,201801,162,107,GF1918,68560,2,,30.5,2,0,0,0,8,,
