"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"3874",NA,-19420,201901,94,178,"M-28",68560,2,NA,72.8,2,4,1,5,112,NA,NA,"2019",1.86213137931304,2.04921802267018,4.28771595520264,4.71849887129509,0.000686838910515931,"NS"
"3886",1490,1063350,200101,89,85,"C-01",68560,2,NA,73,2,4,1,5,104,NA,NA,"2001",1.86332286012046,2.01703333929878,4.29045944114839,4.64439089914137,0.000290031920875164,"NS"
"3887",1491,1063350,200101,89,85,"C-01",68560,2,NA,73,2,4,1,5,104,NA,NA,"2001",1.86332286012046,2.01703333929878,4.29045944114839,4.64439089914137,0.000290031920875164,"NS"
"3888",1498,1010777,200001,89,101,"F-20",68560,2,NA,73,2,4,1,5,110,NA,NA,"2000",1.86332286012046,2.04139268515822,4.29045944114839,4.70048036579242,0.00015245775093914,"NS"
"3894",NA,-11985,201401,162,121,"IH2120",68560,2,NA,73,2,4,1,5,110,NA,NA,"2014",1.86332286012046,2.04139268515822,4.29045944114839,4.70048036579242,0.00015245775093914,"NS"
"3899",2240,-3451,200701,88,109,"D-18",68560,2,NA,73.1,2,4,1,4,110,NA,NA,"2007",1.86391737695786,2.04139268515822,4.29182836675573,4.70048036579242,0.000104500956225387,"NS"
"3908",NA,-19420,201901,94,178,"M-28",68560,2,NA,73.1,2,4,1,5,110,NA,NA,"2019",1.86391737695786,2.04139268515822,4.29182836675573,4.70048036579242,0.000104500956225387,"NS"
"3912",3418,-4122,200801,89,37,"C-06",68560,2,NA,73.2,2,4,1,5,108,NA,NA,"2008",1.86451108105839,2.03342375548695,4.29319542096727,4.68213122712422,1.93152080694823e-06,"NS"
"3915",820,-6213,201001,162,94,"E-19",68560,2,NA,73.2,2,4,1,6,112,NA,NA,"2010",1.86451108105839,2.04921802267018,4.29319542096727,4.71849887129509,0.000304953412994522,"NS"
"3920",NA,-15784,201601,162,183,"M-31",68560,2,NA,73.2,2,4,1,5,116,NA,NA,"2016",1.86451108105839,2.06445798922692,4.29319542096727,4.75359019110636,0.00127120669186673,"NS"
"3923",NA,-16839,201701,94,109,"B-01",68560,2,NA,73.2,2,4,1,5,115,NA,NA,"2017",1.86451108105839,2.06069784035361,4.29319542096727,4.74493212836325,0.000971301636134176,"NS"
"3931",NA,-17682,201801,162,76,"A-02",68560,2,NA,73.3,2,4,1,5,102,NA,NA,"2018",1.86510397464113,2.00860017176192,4.29456060889261,4.62497281328427,0.00108215464086704,"NS"
"3932",NA,-19245,201901,162,69,"A-02",68560,2,NA,73.3,2,4,1,5,118,NA,NA,"2019",1.86510397464113,2.07188200730613,4.29456060889261,4.77068462446567,0.00178533835992898,"NS"
"3940",1445,-11409,200601,134,157,"E-20",68560,2,NA,73.5,2,4,1,5,100,NA,NA,"2006",1.86628733908419,2,4.29728540621879,4.60517018598809,0.00218005259291508,"NS"
"3941",2214,-3440,200701,88,98,"H-01",68560,2,NA,73.5,2,5,2,5,118,NA,NA,"2007",1.86628733908419,2.07188200730613,4.29728540621879,4.77068462446567,0.00142919361807772,"NS"
"3942",2248,-3451,200701,88,109,"D-18",68560,2,NA,73.5,2,4,1,4,106,NA,NA,"2007",1.86628733908419,2.02530586526477,4.29728540621879,4.66343909411207,0.000287117711396345,"NS"
"3945",NA,-17682,201801,162,76,"A-02",68560,2,NA,73.5,2,4,1,6,114,NA,NA,"2018",1.86628733908419,2.05690485133647,4.29728540621879,4.7361984483945,0.000408014202979891,"NS"
"3958",NA,-17646,201801,94,83,"A-04",68560,2,NA,73.6,2,4,1,5,128,NA,NA,"2018",1.8668778143375,2.10720996964787,4.29864502573483,4.85203026391962,0.0059189807690698,"NS"
"3962",4595,-5216,200901,89,98,"M-19",68560,2,NA,73.7,2,4,1,5,108,NA,NA,"2009",1.86746748785905,2.03342375548695,4.30000279919529,4.68213122712422,0.000127596323891916,"NS"
"3964",879,-6216,201001,162,97,"D-18",68560,2,NA,73.7,2,4,1,6,108,NA,NA,"2010",1.86746748785905,2.03342375548695,4.30000279919529,4.68213122712422,0.000127596323891916,"NS"
"3977",NA,-17861,201801,94,137,"J-23",68560,2,NA,73.8,2,4,1,5,130,NA,NA,"2018",1.86805636182304,2.11394335230684,4.30135873160643,4.86753445045558,0.00640253475735697,"NS"
