"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"100",3354149,-19781,201902,94,47,"BB-03",2,69322,1,65.1,NA,2,NA,NA,NA,276,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.17592454921452,5.62040086571715,0.0242458114416432,"NS"
"101",3354150,-19781,201902,94,47,"BB-03",2,69322,1,86.1,NA,2,NA,NA,NA,496,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.45550941143368,6.20657592672493,0.000422506822847207,"NS"
"102",3354151,-19781,201902,94,47,"BB-03",2,69322,1,74.1,NA,2,NA,NA,NA,332,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.30541553230204,5.80513496891649,0.00243153332433203,"NS"
"103",3354152,-19781,201902,94,47,"BB-03",2,69322,1,76.2,NA,2,NA,NA,NA,372,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.3333614626926,5.91889385427315,0.0040300903183259,"NS"
"104",3354153,-19781,201902,94,47,"BB-03",2,69322,1,66.7,NA,2,NA,NA,NA,218,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.20020495292158,5.38449506278909,4.48898649127849e-06,"NS"
"105",3354154,-19781,201902,94,47,"BB-03",2,69322,1,65.7,NA,2,NA,NA,NA,204,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.18509892549057,5.31811999384422,5.76396847454712e-05,"NS"
"106",3354155,-19781,201902,94,47,"BB-03",2,69322,1,77,NA,2,NA,NA,NA,380,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.34380542185368,5.94017125272043,0.00339843014673704,"NS"
"108",3345388,-19506,201902,162,12,"CC-03",2,69322,1,61.8,NA,2,NA,NA,NA,180,NA,NA,NA,NA,1,NA,NA,NA,"CC-03","2019",4.12390336446365,5.19295685089021,0.000598960393552321,"NS"
"109",3345389,-19506,201902,162,12,"CC-03",2,69322,1,45.7,NA,2,NA,NA,NA,64,NA,NA,NA,NA,1,NA,NA,NA,"CC-03","2019",3.82209829790016,4.15888308335967,0.00131434182195945,"NS"
"110",3345390,-19506,201902,162,12,"CC-03",2,69322,1,75.3,NA,2,NA,NA,NA,300,NA,NA,NA,NA,1,NA,NA,NA,"CC-03","2019",4.32148013480585,5.7037824746562,0.000634743962524308,"NS"
