"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.width","log.weight","Cooks_D","SC"
"91",3157692,-17368,201702,162,38,"X-24",7,68580,1,NA,52.8,2,NA,NA,NA,56,NA,NA,NA,NA,2.18826,8.4,NA,"","X-24","2017",3.96651119071222,4.02535169073515,6.4554034129748e-06,"NS"
"92",3157693,-17368,201702,162,38,"X-24",7,68580,1,NA,38.4,2,NA,NA,NA,20,NA,NA,NA,NA,2.18826,6.2,NA,"","X-24","2017",3.64805745959368,2.99573227355399,0.000151156046109399,"NS"
"93",3157694,-17368,201702,162,38,"X-24",7,68580,1,NA,58.4,2,NA,NA,NA,82,NA,NA,NA,NA,2.18826,10.2,NA,"","X-24","2017",4.06731588983418,4.40671924726425,0.000137299662867796,"NS"
"94",3157731,-17369,201702,162,39,"Y-25",7,68580,1,NA,59.5,2,NA,NA,NA,84,NA,NA,NA,NA,1,10.7,NA,"","Y-25","2017",4.08597631255158,4.43081679884331,3.20368363457693e-05,"NS"
"95",3157732,-17369,201702,162,39,"Y-25",7,68580,1,NA,64.2,2,NA,NA,NA,104,NA,NA,NA,NA,1,10.9,NA,"","Y-25","2017",4.16200321069592,4.64439089914137,7.4097765659501e-06,"NS"
"96",3157733,-17369,201702,162,39,"Y-25",7,68580,1,NA,69.4,2,NA,NA,NA,144,NA,NA,NA,NA,1,16.5,NA,"","Y-25","2017",4.23988686751276,4.969813299576,0.000690957631255858,"NS"
"97",3157734,-17369,201702,162,39,"Y-25",7,68580,1,NA,63.6,2,NA,NA,NA,98,NA,NA,NA,NA,1,11,NA,"","Y-25","2017",4.15261347034608,4.58496747867057,1.81520698660068e-05,"NS"
"98",3157735,-17369,201702,162,39,"Y-25",7,68580,1,NA,61.5,2,NA,NA,NA,98,NA,NA,NA,NA,1,12.7,NA,"","Y-25","2017",4.11903717481247,4.58496747867057,0.000303759966240015,"NS"
"99",3157736,-17369,201702,162,39,"Y-25",7,68580,1,NA,71,2,NA,NA,NA,146,NA,NA,NA,NA,1,14.7,NA,"","Y-25","2017",4.26267987704132,4.98360662170834,0.000155687127062341,"NS"
"100",3157737,-17369,201702,162,39,"Y-25",7,68580,1,NA,79.6,2,NA,NA,NA,220,NA,NA,NA,NA,1,19.5,NA,"","Y-25","2017",4.37701409285034,5.39362754635236,0.00122709783183231,"NS"
"101",3157285,-17378,201702,162,40,"ZZ-24",7,68580,1,NA,64.1,2,NA,NA,NA,98,NA,NA,NA,NA,2.03228,11.4,NA,"","ZZ-24","2017",4.16044436392662,4.58496747867057,9.38714187402411e-05,"NS"
"102",3157286,-17378,201702,162,40,"ZZ-24",7,68580,1,NA,57.1,2,NA,NA,NA,78,NA,NA,NA,NA,2.03228,12.8,NA,"","ZZ-24","2017",4.04480411666196,4.35670882668959,0.000213640955339923,"NS"
"103",3157287,-17378,201702,162,40,"ZZ-24",7,68580,1,NA,44.2,2,NA,NA,NA,30,NA,NA,NA,NA,2.03228,6.4,NA,"","ZZ-24","2017",3.78872478908365,3.40119738166216,0.000192334191030859,"NS"
"104",3157288,-17378,201702,162,40,"ZZ-24",7,68580,1,NA,66.8,2,NA,NA,NA,110,NA,NA,NA,NA,2.03228,12.3,NA,"","ZZ-24","2017",4.2017030805426,4.70048036579242,0.000159710585720248,"NS"
"105",3157289,-17378,201702,162,40,"ZZ-24",7,68580,1,NA,64.3,2,NA,NA,NA,108,NA,NA,NA,NA,2.03228,11.4,NA,"","ZZ-24","2017",4.16355963124357,4.68213122712422,0.000105226609623783,"NS"
"106",3158442,-17383,201702,162,45,"AA-23",7,68580,1,NA,40.4,2,NA,NA,NA,22,NA,NA,NA,NA,10.69338,6.3,NA,"","AA-23","2017",3.6988297849671,3.09104245335832,0.000393736307494703,"NS"
"107",3158443,-17383,201702,162,45,"AA-23",7,68580,1,NA,46.2,2,NA,NA,NA,38,NA,NA,NA,NA,10.69338,7.1,NA,"","AA-23","2017",3.83297979808769,3.63758615972639,5.50118501334126e-09,"NS"
"108",3158444,-17383,201702,162,45,"AA-23",7,68580,1,NA,66.8,2,NA,NA,NA,124,NA,NA,NA,NA,10.69338,15.6,NA,"","AA-23","2017",4.2017030805426,4.82028156560504,0.000270841871255633,"NS"
"109",3158445,-17383,201702,162,45,"AA-23",7,68580,1,NA,62.9,2,NA,NA,NA,100,NA,NA,NA,NA,10.69338,11.2,NA,"","AA-23","2017",4.1415461637064,4.60517018598809,5.78367500075647e-05,"NS"
